"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Females","All Races,","<1 yrs","2013","2013","1","Congenital Anomalies","2196"
"United States","Females","All Races,","<1 yrs","2013","2013","2","Short Gestation","1905"
"United States","Females","All Races,","<1 yrs","2013","2013","3","Maternal Pregnancy Comp.","694"
"United States","Females","All Races,","<1 yrs","2013","2013","4","SIDS","647"
"United States","Females","All Races,","<1 yrs","2013","2013","5","Unintentional Injury","497"
"United States","Females","All Races,","<1 yrs","2013","2013","6","Placenta  Cord Membranes","423"
"United States","Females","All Races,","<1 yrs","2013","2013","7","Bacterial Sepsis","241"
"United States","Females","All Races,","<1 yrs","2013","2013","8","Respiratory Distress","226"
"United States","Females","All Races,","<1 yrs","2013","2013","9","Circulatory System Disease","199"
"United States","Females","All Races,","<1 yrs","2013","2013","10","Intrauterine Hypoxia","157"
"United States","Females","All Races,","1-4 yrs","2013","2013","1","Unintentional Injury","485"
"United States","Females","All Races,","1-4 yrs","2013","2013","2","Congenital Anomalies","244"
"United States","Females","All Races,","1-4 yrs","2013","2013","3","Homicide","153"
"United States","Females","All Races,","1-4 yrs","2013","2013","4","Malignant Neoplasms","145"
"United States","Females","All Races,","1-4 yrs","2013","2013","5","Heart Disease","73"
"United States","Females","All Races,","1-4 yrs","2013","2013","6","Influenza & Pneumonia","49"
"United States","Females","All Races,","1-4 yrs","2013","2013","7","Benign Neoplasms","28"
"United States","Females","All Races,","1-4 yrs","2013","2013","8","Chronic Low. Respiratory Disease","26"
"United States","Females","All Races,","1-4 yrs","2013","2013","9","Septicemia","21"
"United States","Females","All Races,","1-4 yrs","2013","2013","10","Cerebrovascular","16"
"United States","Females","All Races,","5-9 yrs","2013","2013","1","Unintentional Injury","296"
"United States","Females","All Races,","5-9 yrs","2013","2013","2","Malignant Neoplasms","206"
"United States","Females","All Races,","5-9 yrs","2013","2013","3","Congenital Anomalies","82"
"United States","Females","All Races,","5-9 yrs","2013","2013","4","Homicide","52"
"United States","Females","All Races,","5-9 yrs","2013","2013","5","Heart Disease","37"
"United States","Females","All Races,","5-9 yrs","2013","2013","6","Influenza & Pneumonia","30"
"United States","Females","All Races,","5-9 yrs","2013","2013","7","Chronic Low. Respiratory Disease","25"
"United States","Females","All Races,","5-9 yrs","2013","2013","8","Cerebrovascular","22"
"United States","Females","All Races,","5-9 yrs","2013","2013","9","Septicemia","14"
"United States","Females","All Races,","5-9 yrs","2013","2013","10","Benign Neoplasms","10"
"United States","Females","All Races,","10-14 yrs","2013","2013","1","Unintentional Injury","275"
"United States","Females","All Races,","10-14 yrs","2013","2013","2","Malignant Neoplasms","218"
"United States","Females","All Races,","10-14 yrs","2013","2013","3","Suicide","141"
"United States","Females","All Races,","10-14 yrs","2013","2013","4","Congenital Anomalies","82"
"United States","Females","All Races,","10-14 yrs","2013","2013","5","Homicide","57"
"United States","Females","All Races,","10-14 yrs","2013","2013","6","Heart Disease","43"
"United States","Females","All Races,","10-14 yrs","2013","2013","7","Chronic Low. Respiratory Disease","30"
"United States","Females","All Races,","10-14 yrs","2013","2013","8","Influenza & Pneumonia","28"
"United States","Females","All Races,","10-14 yrs","2013","2013","9","Cerebrovascular","23"
"United States","Females","All Races,","10-14 yrs","2013","2013","10","Benign Neoplasms","15"
"United States","Females","All Races,","15-24 yrs","2013","2013","1","Unintentional Injury","3074"
"United States","Females","All Races,","15-24 yrs","2013","2013","2","Suicide","975"
"United States","Females","All Races,","15-24 yrs","2013","2013","3","Malignant Neoplasms","637"
"United States","Females","All Races,","15-24 yrs","2013","2013","4","Homicide","564"
"United States","Females","All Races,","15-24 yrs","2013","2013","5","Heart Disease","313"
"United States","Females","All Races,","15-24 yrs","2013","2013","6","Complicated Pregnancy","178"
"United States","Females","All Races,","15-24 yrs","2013","2013","7","Congenital Anomalies","139"
"United States","Females","All Races,","15-24 yrs","2013","2013","8","Influenza & Pneumonia","83"
"United States","Females","All Races,","15-24 yrs","2013","2013","9","Diabetes Mellitus","73"
"United States","Females","All Races,","15-24 yrs","2013","2013","10","Cerebrovascular","68"
"United States","Females","All Races,","25-34 yrs","2013","2013","1","Unintentional Injury","4184"
"United States","Females","All Races,","25-34 yrs","2013","2013","2","Malignant Neoplasms","1816"
"United States","Females","All Races,","25-34 yrs","2013","2013","3","Suicide","1285"
"United States","Females","All Races,","25-34 yrs","2013","2013","4","Heart Disease","1044"
"United States","Females","All Races,","25-34 yrs","2013","2013","5","Homicide","681"
"United States","Females","All Races,","25-34 yrs","2013","2013","6","Complicated Pregnancy","441"
"United States","Females","All Races,","25-34 yrs","2013","2013","7","Diabetes Mellitus","281"
"United States","Females","All Races,","25-34 yrs","2013","2013","8","Liver Disease","241"
"United States","Females","All Races,","25-34 yrs","2013","2013","9","Cerebrovascular","229"
"United States","Females","All Races,","25-34 yrs","2013","2013","10","Influenza & Pneumonia","196"
"United States","Females","All Races,","35-44 yrs","2013","2013","1","Malignant Neoplasms","6522"
"United States","Females","All Races,","35-44 yrs","2013","2013","2","Unintentional Injury","4788"
"United States","Females","All Races,","35-44 yrs","2013","2013","3","Heart Disease","3189"
"United States","Females","All Races,","35-44 yrs","2013","2013","4","Suicide","1548"
"United States","Females","All Races,","35-44 yrs","2013","2013","5","Liver Disease","871"
"United States","Females","All Races,","35-44 yrs","2013","2013","6","Cerebrovascular","749"
"United States","Females","All Races,","35-44 yrs","2013","2013","7","Diabetes Mellitus","741"
"United States","Females","All Races,","35-44 yrs","2013","2013","8","Homicide","556"
"United States","Females","All Races,","35-44 yrs","2013","2013","9","Septicemia","423"
"United States","Females","All Races,","35-44 yrs","2013","2013","10","Influenza & Pneumonia","417"
"United States","Females","All Races,","45-54 yrs","2013","2013","1","Malignant Neoplasms","23219"
"United States","Females","All Races,","45-54 yrs","2013","2013","2","Heart Disease","10337"
"United States","Females","All Races,","45-54 yrs","2013","2013","3","Unintentional Injury","6766"
"United States","Females","All Races,","45-54 yrs","2013","2013","4","Liver Disease","2927"
"United States","Females","All Races,","45-54 yrs","2013","2013","5","Chronic Low. Respiratory Disease","2477"
"United States","Females","All Races,","45-54 yrs","2013","2013","6","Cerebrovascular","2358"
"United States","Females","All Races,","45-54 yrs","2013","2013","7","Diabetes Mellitus","2266"
"United States","Females","All Races,","45-54 yrs","2013","2013","8","Suicide","2228"
"United States","Females","All Races,","45-54 yrs","2013","2013","9","Septicemia","1141"
"United States","Females","All Races,","45-54 yrs","2013","2013","10","Influenza & Pneumonia","956"
"United States","Females","All Races,","55-64 yrs","2013","2013","1","Malignant Neoplasms","50514"
"United States","Females","All Races,","55-64 yrs","2013","2013","2","Heart Disease","21888"
"United States","Females","All Races,","55-64 yrs","2013","2013","3","Chronic Low. Respiratory Disease","7655"
"United States","Females","All Races,","55-64 yrs","2013","2013","4","Unintentional Injury","5399"
"United States","Females","All Races,","55-64 yrs","2013","2013","5","Diabetes Mellitus","5128"
"United States","Females","All Races,","55-64 yrs","2013","2013","6","Cerebrovascular","4713"
"United States","Females","All Races,","55-64 yrs","2013","2013","7","Liver Disease","3466"
"United States","Females","All Races,","55-64 yrs","2013","2013","8","Septicemia","2453"
"United States","Females","All Races,","55-64 yrs","2013","2013","9","Nephritis","2147"
"United States","Females","All Races,","55-64 yrs","2013","2013","10","Influenza & Pneumonia","2034"
"United States","Females","All Races,","65+ yrs","2013","2013","1","Heart Disease","252696"
"United States","Females","All Races,","65+ yrs","2013","2013","2","Malignant Neoplasms","194008"
"United States","Females","All Races,","65+ yrs","2013","2013","3","Chronic Low. Respiratory Disease","68085"
"United States","Females","All Races,","65+ yrs","2013","2013","4","Cerebrovascular","67058"
"United States","Females","All Races,","65+ yrs","2013","2013","5","Alzheimer's Disease","58366"
"United States","Females","All Races,","65+ yrs","2013","2013","6","Diabetes Mellitus","27231"
"United States","Females","All Races,","65+ yrs","2013","2013","7","Influenza & Pneumonia","26314"
"United States","Females","All Races,","65+ yrs","2013","2013","8","Unintentional Injury","22873"
"United States","Females","All Races,","65+ yrs","2013","2013","9","Nephritis","20155"
"United States","Females","All Races,","65+ yrs","2013","2013","10","Hypertension","15939"
