"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Males","All Races,","<1 yrs","2018","2018","1","Congenital Anomalies","2356"
"United States","Males","All Races,","<1 yrs","2018","2018","2","Short Gestation","2107"
"United States","Males","All Races,","<1 yrs","2018","2018","3","Maternal Pregnancy Comp.","791"
"United States","Males","All Races,","<1 yrs","2018","2018","4","SIDS","746"
"United States","Males","All Races,","<1 yrs","2018","2018","5","Unintentional Injury","689"
"United States","Males","All Races,","<1 yrs","2018","2018","6","Placenta  Cord Membranes","385"
"United States","Males","All Races,","<1 yrs","2018","2018","7","Bacterial Sepsis","329"
"United States","Males","All Races,","<1 yrs","2018","2018","8","Respiratory Distress","240"
"United States","Males","All Races,","<1 yrs","2018","2018","9","Circulatory System Disease","224"
"United States","Males","All Races,","<1 yrs","2018","2018","10","Neonatal Hemorrhage","208"
"United States","Males","All Races,","1-4 yrs","2018","2018","1","Unintentional Injury","760"
"United States","Males","All Races,","1-4 yrs","2018","2018","2","Homicide","211"
"United States","Males","All Races,","1-4 yrs","2018","2018","3","Congenital Anomalies","210"
"United States","Males","All Races,","1-4 yrs","2018","2018","4","Malignant Neoplasms","183"
"United States","Males","All Races,","1-4 yrs","2018","2018","5","Influenza & Pneumonia","69"
"United States","Males","All Races,","1-4 yrs","2018","2018","6","Heart Disease","58"
"United States","Males","All Races,","1-4 yrs","2018","2018","7","Perinatal Period","40"
"United States","Males","All Races,","1-4 yrs","2018","2018","8","Chronic Low. Respiratory Disease","32"
"United States","Males","All Races,","1-4 yrs","2018","2018","9","Benign Neoplasms","21"
"United States","Males","All Races,","1-4 yrs","2018","2018","9","Cerebrovascular","21"
"United States","Males","All Races,","5-9 yrs","2018","2018","1","Unintentional Injury","442"
"United States","Males","All Races,","5-9 yrs","2018","2018","2","Malignant Neoplasms","204"
"United States","Males","All Races,","5-9 yrs","2018","2018","3","Congenital Anomalies","94"
"United States","Males","All Races,","5-9 yrs","2018","2018","4","Homicide","68"
"United States","Males","All Races,","5-9 yrs","2018","2018","5","Chronic Low. Respiratory Disease","36"
"United States","Males","All Races,","5-9 yrs","2018","2018","6","Heart Disease","34"
"United States","Males","All Races,","5-9 yrs","2018","2018","6","Influenza & Pneumonia","34"
"United States","Males","All Races,","5-9 yrs","2018","2018","7","Cerebrovascular","21"
"United States","Males","All Races,","5-9 yrs","2018","2018","7","Septicemia","21"
"United States","Males","All Races,","5-9 yrs","2018","2018","8","Perinatal Period","12"
"United States","Males","All Races,","10-14 yrs","2018","2018","1","Unintentional Injury","421"
"United States","Males","All Races,","10-14 yrs","2018","2018","2","Suicide","390"
"United States","Males","All Races,","10-14 yrs","2018","2018","3","Malignant Neoplasms","244"
"United States","Males","All Races,","10-14 yrs","2018","2018","4","Homicide","95"
"United States","Males","All Races,","10-14 yrs","2018","2018","5","Congenital Anomalies","89"
"United States","Males","All Races,","10-14 yrs","2018","2018","6","Heart Disease","57"
"United States","Males","All Races,","10-14 yrs","2018","2018","7","Chronic Low. Respiratory Disease","34"
"United States","Males","All Races,","10-14 yrs","2018","2018","8","Cerebrovascular","30"
"United States","Males","All Races,","10-14 yrs","2018","2018","9","Influenza & Pneumonia","21"
"United States","Males","All Races,","10-14 yrs","2018","2018","10","Benign Neoplasms","19"
"United States","Males","All Races,","15-24 yrs","2018","2018","1","Unintentional Injury","8625"
"United States","Males","All Races,","15-24 yrs","2018","2018","2","Suicide","4989"
"United States","Males","All Races,","15-24 yrs","2018","2018","3","Homicide","3921"
"United States","Males","All Races,","15-24 yrs","2018","2018","4","Malignant Neoplasms","855"
"United States","Males","All Races,","15-24 yrs","2018","2018","5","Heart Disease","614"
"United States","Males","All Races,","15-24 yrs","2018","2018","6","Congenital Anomalies","221"
"United States","Males","All Races,","15-24 yrs","2018","2018","7","Diabetes Mellitus","130"
"United States","Males","All Races,","15-24 yrs","2018","2018","8","Influenza & Pneumonia","129"
"United States","Males","All Races,","15-24 yrs","2018","2018","9","Chronic Low. Respiratory Disease","90"
"United States","Males","All Races,","15-24 yrs","2018","2018","10","Cerebrovascular","79"
"United States","Males","All Races,","25-34 yrs","2018","2018","1","Unintentional Injury","18114"
"United States","Males","All Races,","25-34 yrs","2018","2018","2","Suicide","6350"
