"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Males","All Races,","<1 yrs","2017","2017","1","Congenital Anomalies","2387"
"United States","Males","All Races,","<1 yrs","2017","2017","2","Short Gestation","2135"
"United States","Males","All Races,","<1 yrs","2017","2017","3","Maternal Pregnancy Comp.","807"
"United States","Males","All Races,","<1 yrs","2017","2017","4","SIDS","794"
"United States","Males","All Races,","<1 yrs","2017","2017","5","Unintentional Injury","761"
"United States","Males","All Races,","<1 yrs","2017","2017","6","Placenta  Cord Membranes","490"
"United States","Males","All Races,","<1 yrs","2017","2017","7","Bacterial Sepsis","316"
"United States","Males","All Races,","<1 yrs","2017","2017","8","Respiratory Distress","261"
"United States","Males","All Races,","<1 yrs","2017","2017","9","Circulatory System Disease","249"
"United States","Males","All Races,","<1 yrs","2017","2017","10","Neonatal Hemorrhage","248"
"United States","Males","All Races,","1-4 yrs","2017","2017","1","Unintentional Injury","770"
"United States","Males","All Races,","1-4 yrs","2017","2017","2","Congenital Anomalies","225"
"United States","Males","All Races,","1-4 yrs","2017","2017","3","Malignant Neoplasms","184"
"United States","Males","All Races,","1-4 yrs","2017","2017","4","Homicide","168"
"United States","Males","All Races,","1-4 yrs","2017","2017","5","Heart Disease","67"
"United States","Males","All Races,","1-4 yrs","2017","2017","6","Influenza & Pneumonia","63"
"United States","Males","All Races,","1-4 yrs","2017","2017","7","Cerebrovascular","42"
"United States","Males","All Races,","1-4 yrs","2017","2017","8","Septicemia","26"
"United States","Males","All Races,","1-4 yrs","2017","2017","9","Benign Neoplasms","19"
"United States","Males","All Races,","1-4 yrs","2017","2017","9","Perinatal Period","19"
"United States","Males","All Races,","5-9 yrs","2017","2017","1","Unintentional Injury","421"
"United States","Males","All Races,","5-9 yrs","2017","2017","2","Malignant Neoplasms","199"
"United States","Males","All Races,","5-9 yrs","2017","2017","3","Congenital Anomalies","104"
"United States","Males","All Races,","5-9 yrs","2017","2017","4","Homicide","83"
"United States","Males","All Races,","5-9 yrs","2017","2017","5","Heart Disease","42"
"United States","Males","All Races,","5-9 yrs","2017","2017","6","Chronic Low. Respiratory Disease","37"
"United States","Males","All Races,","5-9 yrs","2017","2017","7","Influenza & Pneumonia","30"
"United States","Males","All Races,","5-9 yrs","2017","2017","8","Cerebrovascular","20"
"United States","Males","All Races,","5-9 yrs","2017","2017","9","Benign Neoplasms","16"
"United States","Males","All Races,","5-9 yrs","2017","2017","9","Septicemia","16"
"United States","Males","All Races,","10-14 yrs","2017","2017","1","Unintentional Injury","564"
