"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Males","All Races,","<1 yrs","2012","2012","1","Congenital Anomalies","2557"
"United States","Males","All Races,","<1 yrs","2012","2012","2","Short Gestation","2356"
"United States","Males","All Races,","<1 yrs","2012","2012","3","SIDS","960"
"United States","Males","All Races,","<1 yrs","2012","2012","4","Maternal Pregnancy Comp.","871"
"United States","Males","All Races,","<1 yrs","2012","2012","5","Unintentional Injury","675"
"United States","Males","All Races,","<1 yrs","2012","2012","6","Placenta  Cord Membranes","553"
"United States","Males","All Races,","<1 yrs","2012","2012","7","Bacterial Sepsis","316"
"United States","Males","All Races,","<1 yrs","2012","2012","8","Respiratory Distress","307"
"United States","Males","All Races,","<1 yrs","2012","2012","9","Circulatory System Disease","272"
"United States","Males","All Races,","<1 yrs","2012","2012","10","Neonatal Hemorrhage","253"
"United States","Males","All Races,","1-4 yrs","2012","2012","1","Unintentional Injury","806"
"United States","Males","All Races,","1-4 yrs","2012","2012","2","Congenital Anomalies","275"
"United States","Males","All Races,","1-4 yrs","2012","2012","3","Malignant Neoplasms","218"
"United States","Males","All Races,","1-4 yrs","2012","2012","4","Homicide","197"
"United States","Males","All Races,","1-4 yrs","2012","2012","5","Heart Disease","80"
"United States","Males","All Races,","1-4 yrs","2012","2012","6","Influenza & Pneumonia","55"
"United States","Males","All Races,","1-4 yrs","2012","2012","7","Cerebrovascular","36"
"United States","Males","All Races,","1-4 yrs","2012","2012","8","Chronic Low. Respiratory Disease","35"
"United States","Males","All Races,","1-4 yrs","2012","2012","9","Septicemia","29"
"United States","Males","All Races,","1-4 yrs","2012","2012","10","Perinatal Period","27"
"United States","Males","All Races,","5-9 yrs","2012","2012","1","Unintentional Injury","457"
"United States","Males","All Races,","5-9 yrs","2012","2012","2","Malignant Neoplasms","254"
"United States","Males","All Races,","5-9 yrs","2012","2012","3","Congenital Anomalies","83"
"United States","Males","All Races,","5-9 yrs","2012","2012","4","Homicide","75"
"United States","Males","All Races,","5-9 yrs","2012","2012","5","Heart Disease","33"
"United States","Males","All Races,","5-9 yrs","2012","2012","6","Chronic Low. Respiratory Disease","31"
"United States","Males","All Races,","5-9 yrs","2012","2012","7","Benign Neoplasms","23"
"United States","Males","All Races,","5-9 yrs","2012","2012","8","Influenza & Pneumonia","21"
"United States","Males","All Races,","5-9 yrs","2012","2012","9","Septicemia","17"
"United States","Males","All Races,","5-9 yrs","2012","2012","10","Cerebrovascular","15"
"United States","Males","All Races,","10-14 yrs","2012","2012","1","Unintentional Injury","525"
"United States","Males","All Races,","10-14 yrs","2012","2012","2","Malignant Neoplasms","259"
"United States","Males","All Races,","10-14 yrs","2012","2012","3","Suicide","221"
"United States","Males","All Races,","10-14 yrs","2012","2012","4","Homicide","106"
"United States","Males","All Races,","10-14 yrs","2012","2012","5","Congenital Anomalies","87"
"United States","Males","All Races,","10-14 yrs","2012","2012","6","Heart Disease","63"
"United States","Males","All Races,","10-14 yrs","2012","2012","7","Chronic Low. Respiratory Disease","31"
"United States","Males","All Races,","10-14 yrs","2012","2012","8","Cerebrovascular","26"
"United States","Males","All Races,","10-14 yrs","2012","2012","9","Benign Neoplasms","25"
"United States","Males","All Races,","10-14 yrs","2012","2012","10","Influenza & Pneumonia","19"
"United States","Males","All Races,","15-24 yrs","2012","2012","1","Unintentional Injury","8849"
"United States","Males","All Races,","15-24 yrs","2012","2012","2","Homicide","3995"
"United States","Males","All Races,","15-24 yrs","2012","2012","3","Suicide","3918"
"United States","Males","All Races,","15-24 yrs","2012","2012","4","Malignant Neoplasms","924"
"United States","Males","All Races,","15-24 yrs","2012","2012","5","Heart Disease","644"
"United States","Males","All Races,","15-24 yrs","2012","2012","6","Congenital Anomalies","250"
"United States","Males","All Races,","15-24 yrs","2012","2012","7","Cerebrovascular","108"
"United States","Males","All Races,","15-24 yrs","2012","2012","8","Diabetes Mellitus","106"
"United States","Males","All Races,","15-24 yrs","2012","2012","9","Chronic Low. Respiratory Disease","98"
"United States","Males","All Races,","15-24 yrs","2012","2012","10","Influenza & Pneumonia","90"
"United States","Males","All Races,","25-34 yrs","2012","2012","1","Unintentional Injury","11675"
"United States","Males","All Races,","25-34 yrs","2012","2012","2","Suicide","4985"
"United States","Males","All Races,","25-34 yrs","2012","2012","3","Homicide","3651"
"United States","Males","All Races,","25-34 yrs","2012","2012","4","Heart Disease","2214"
"United States","Males","All Races,","25-34 yrs","2012","2012","5","Malignant Neoplasms","1802"
"United States","Males","All Races,","25-34 yrs","2012","2012","6","HIV","456"
"United States","Males","All Races,","25-34 yrs","2012","2012","7","Liver Disease","379"
"United States","Males","All Races,","25-34 yrs","2012","2012","8","Diabetes Mellitus","359"
