"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Females","All Races,","<1 yrs","2018","2018","1","Congenital Anomalies","2117"
"United States","Females","All Races,","<1 yrs","2018","2018","2","Short Gestation","1572"
"United States","Females","All Races,","<1 yrs","2018","2018","3","SIDS","588"
"United States","Females","All Races,","<1 yrs","2018","2018","4","Maternal Pregnancy Comp.","567"
"United States","Females","All Races,","<1 yrs","2018","2018","5","Unintentional Injury","479"
"United States","Females","All Races,","<1 yrs","2018","2018","6","Placenta  Cord Membranes","339"
"United States","Females","All Races,","<1 yrs","2018","2018","7","Bacterial Sepsis","250"
"United States","Females","All Races,","<1 yrs","2018","2018","8","Circulatory System Disease","204"
"United States","Females","All Races,","<1 yrs","2018","2018","9","Neonatal Hemorrhage","167"
"United States","Females","All Races,","<1 yrs","2018","2018","10","Respiratory Distress","150"
"United States","Females","All Races,","1-4 yrs","2018","2018","1","Unintentional Injury","466"
"United States","Females","All Races,","1-4 yrs","2018","2018","2","Congenital Anomalies","174"
"United States","Females","All Races,","1-4 yrs","2018","2018","3","Malignant Neoplasms","143"
"United States","Females","All Races,","1-4 yrs","2018","2018","4","Homicide","142"
"United States","Females","All Races,","1-4 yrs","2018","2018","5","Heart Disease","57"
"United States","Females","All Races,","1-4 yrs","2018","2018","6","Influenza & Pneumonia","53"
"United States","Females","All Races,","1-4 yrs","2018","2018","7","Septicemia","33"
"United States","Females","All Races,","1-4 yrs","2018","2018","8","Cerebrovascular","22"
"United States","Females","All Races,","1-4 yrs","2018","2018","8","Perinatal Period","22"
"United States","Females","All Races,","1-4 yrs","2018","2018","9","Benign Neoplasms","18"
"United States","Females","All Races,","5-9 yrs","2018","2018","1","Unintentional Injury","292"
"United States","Females","All Races,","5-9 yrs","2018","2018","2","Malignant Neoplasms","189"
"United States","Females","All Races,","5-9 yrs","2018","2018","3","Congenital Anomalies","107"
"United States","Females","All Races,","5-9 yrs","2018","2018","4","Homicide","53"
"United States","Females","All Races,","5-9 yrs","2018","2018","5","Influenza & Pneumonia","37"
"United States","Females","All Races,","5-9 yrs","2018","2018","6","Heart Disease","34"
"United States","Females","All Races,","5-9 yrs","2018","2018","7","Chronic Low. Respiratory Disease","32"
"United States","Females","All Races,","5-9 yrs","2018","2018","8","Cerebrovascular","13"
"United States","Females","All Races,","5-9 yrs","2018","2018","8","Septicemia","13"
"United States","Females","All Races,","5-9 yrs","2018","2018","9","Benign Neoplasms","11"
"United States","Females","All Races,","10-14 yrs","2018","2018","1","Unintentional Injury","271"
"United States","Females","All Races,","10-14 yrs","2018","2018","2","Malignant Neoplasms","206"
"United States","Females","All Races,","10-14 yrs","2018","2018","2","Suicide","206"
"United States","Females","All Races,","10-14 yrs","2018","2018","3","Congenital Anomalies","83"
"United States","Females","All Races,","10-14 yrs","2018","2018","4","Homicide","73"
"United States","Females","All Races,","10-14 yrs","2018","2018","5","Heart Disease","44"
"United States","Females","All Races,","10-14 yrs","2018","2018","6","Chronic Low. Respiratory Disease","30"
"United States","Females","All Races,","10-14 yrs","2018","2018","6","Influenza & Pneumonia","30"
"United States","Females","All Races,","10-14 yrs","2018","2018","7","Cerebrovascular","24"
"United States","Females","All Races,","10-14 yrs","2018","2018","8","Diabetes Mellitus","14"
"United States","Females","All Races,","15-24 yrs","2018","2018","1","Unintentional Injury","3419"
"United States","Females","All Races,","15-24 yrs","2018","2018","2","Suicide","1222"
"United States","Females","All Races,","15-24 yrs","2018","2018","3","Homicide","686"
