"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Males","All Races,","<1 yrs","2010","2010","1","Congenital Anomalies","2618"
"United States","Males","All Races,","<1 yrs","2010","2010","2","Short Gestation","2319"
"United States","Males","All Races,","<1 yrs","2010","2010","3","SIDS","1211"
"United States","Males","All Races,","<1 yrs","2010","2010","4","Maternal Pregnancy Comp.","856"
"United States","Males","All Races,","<1 yrs","2010","2010","5","Unintentional Injury","637"
"United States","Males","All Races,","<1 yrs","2010","2010","6","Placenta  Cord Membranes","553"
"United States","Males","All Races,","<1 yrs","2010","2010","7","Bacterial Sepsis","325"
"United States","Males","All Races,","<1 yrs","2010","2010","8","Respiratory Distress","312"
"United States","Males","All Races,","<1 yrs","2010","2010","9","Circulatory System Disease","286"
"United States","Males","All Races,","<1 yrs","2010","2010","9","Neonatal Hemorrhage","286"
"United States","Males","All Races,","1-4 yrs","2010","2010","1","Unintentional Injury","868"
"United States","Males","All Races,","1-4 yrs","2010","2010","2","Congenital Anomalies","231"
"United States","Males","All Races,","1-4 yrs","2010","2010","2","Homicide","231"
"United States","Males","All Races,","1-4 yrs","2010","2010","3","Malignant Neoplasms","197"
"United States","Males","All Races,","1-4 yrs","2010","2010","4","Heart Disease","90"
"United States","Males","All Races,","1-4 yrs","2010","2010","5","Influenza & Pneumonia","50"
"United States","Males","All Races,","1-4 yrs","2010","2010","6","Benign Neoplasms","32"
"United States","Males","All Races,","1-4 yrs","2010","2010","7","Perinatal Period","30"
"United States","Males","All Races,","1-4 yrs","2010","2010","7","Septicemia","30"
"United States","Males","All Races,","1-4 yrs","2010","2010","8","Chronic Low. Respiratory Disease","28"
"United States","Males","All Races,","5-9 yrs","2010","2010","1","Unintentional Injury","483"
"United States","Males","All Races,","5-9 yrs","2010","2010","2","Malignant Neoplasms","239"
"United States","Males","All Races,","5-9 yrs","2010","2010","3","Congenital Anomalies","81"
"United States","Males","All Races,","5-9 yrs","2010","2010","4","Homicide","62"
