"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Males","All Races,","<1 yrs","2008","2008","1","Congenital Anomalies","2967"
"United States","Males","All Races,","<1 yrs","2008","2008","2","Short Gestation","2677"
"United States","Males","All Races,","<1 yrs","2008","2008","3","SIDS","1379"
"United States","Males","All Races,","<1 yrs","2008","2008","4","Maternal Pregnancy Comp.","1010"
"United States","Males","All Races,","<1 yrs","2008","2008","5","Unintentional Injury","729"
"United States","Males","All Races,","<1 yrs","2008","2008","6","Placenta  Cord Membranes","577"
"United States","Males","All Races,","<1 yrs","2008","2008","7","Bacterial Sepsis","398"
"United States","Males","All Races,","<1 yrs","2008","2008","8","Respiratory Distress","381"
"United States","Males","All Races,","<1 yrs","2008","2008","9","Circulatory System Disease","329"
"United States","Males","All Races,","<1 yrs","2008","2008","10","Neonatal Hemorrhage","328"
"United States","Males","All Races,","1-4 yrs","2008","2008","1","Unintentional Injury","903"
"United States","Males","All Races,","1-4 yrs","2008","2008","2","Congenital Anomalies","273"
"United States","Males","All Races,","1-4 yrs","2008","2008","3","Homicide","234"
"United States","Males","All Races,","1-4 yrs","2008","2008","4","Malignant Neoplasms","218"
"United States","Males","All Races,","1-4 yrs","2008","2008","5","Heart Disease","97"
"United States","Males","All Races,","1-4 yrs","2008","2008","6","Influenza & Pneumonia","69"
"United States","Males","All Races,","1-4 yrs","2008","2008","7","Septicemia","42"
"United States","Males","All Races,","1-4 yrs","2008","2008","8","Chronic Low. Respiratory Disease","32"
"United States","Males","All Races,","1-4 yrs","2008","2008","9","Cerebrovascular","29"
"United States","Males","All Races,","1-4 yrs","2008","2008","10","Perinatal Period","27"
"United States","Males","All Races,","5-9 yrs","2008","2008","1","Unintentional Injury","507"
"United States","Males","All Races,","5-9 yrs","2008","2008","2","Malignant Neoplasms","226"
"United States","Males","All Races,","5-9 yrs","2008","2008","3","Congenital Anomalies","93"
"United States","Males","All Races,","5-9 yrs","2008","2008","4","Homicide","62"
"United States","Males","All Races,","5-9 yrs","2008","2008","5","Heart Disease","53"
"United States","Males","All Races,","5-9 yrs","2008","2008","6","Chronic Low. Respiratory Disease","39"
"United States","Males","All Races,","5-9 yrs","2008","2008","7","Benign Neoplasms","31"
"United States","Males","All Races,","5-9 yrs","2008","2008","8","Influenza & Pneumonia","26"
"United States","Males","All Races,","5-9 yrs","2008","2008","9","Cerebrovascular","24"
"United States","Males","All Races,","5-9 yrs","2008","2008","10","Septicemia","14"
"United States","Males","All Races,","10-14 yrs","2008","2008","1","Unintentional Injury","682"
"United States","Males","All Races,","10-14 yrs","2008","2008","2","Malignant Neoplasms","228"
"United States","Males","All Races,","10-14 yrs","2008","2008","3","Suicide","149"
"United States","Males","All Races,","10-14 yrs","2008","2008","4","Homicide","133"
"United States","Males","All Races,","10-14 yrs","2008","2008","5","Congenital Anomalies","81"
"United States","Males","All Races,","10-14 yrs","2008","2008","6","Heart Disease","75"
"United States","Males","All Races,","10-14 yrs","2008","2008","7","Chronic Low. Respiratory Disease","30"
"United States","Males","All Races,","10-14 yrs","2008","2008","8","Cerebrovascular","25"
"United States","Males","All Races,","10-14 yrs","2008","2008","9","Influenza & Pneumonia","21"
"United States","Males","All Races,","10-14 yrs","2008","2008","10","Septicemia","16"
"United States","Males","All Races,","15-24 yrs","2008","2008","1","Unintentional Injury","10629"
"United States","Males","All Races,","15-24 yrs","2008","2008","2","Homicide","4573"
"United States","Males","All Races,","15-24 yrs","2008","2008","3","Suicide","3560"
"United States","Males","All Races,","15-24 yrs","2008","2008","4","Malignant Neoplasms","1021"
"United States","Males","All Races,","15-24 yrs","2008","2008","5","Heart Disease","735"
"United States","Males","All Races,","15-24 yrs","2008","2008","6","Congenital Anomalies","285"
"United States","Males","All Races,","15-24 yrs","2008","2008","7","Diabetes Mellitus","128"
"United States","Males","All Races,","15-24 yrs","2008","2008","8","Influenza & Pneumonia","124"
"United States","Males","All Races,","15-24 yrs","2008","2008","9","Cerebrovascular","110"
"United States","Males","All Races,","15-24 yrs","2008","2008","10","Chronic Low. Respiratory Disease","93"
"United States","Males","All Races,","25-34 yrs","2008","2008","1","Unintentional Injury","11223"
"United States","Males","All Races,","25-34 yrs","2008","2008","2","Suicide","4273"
"United States","Males","All Races,","25-34 yrs","2008","2008","3","Homicide","3895"
